Mes,Aerolinea,Categoria,A tiempo,Demora,Cancelado,Total,Imputables a la aerolinea,Cancelados imputables,Total imputables
Marzo,Magnicharters,Pasajeros,7,2,0,9,0,0,0
Marzo,Conviasa ,Pasajeros,4,1,0,5,0,0,0
Marzo,Mexicana,Pasajeros,336,8,0,344,2,0,2
Marzo,Aeroméxico,Pasajeros,287,25,0,312,3,0,3
Marzo,Volaris,Pasajeros,180,25,0,205,3,0,3
Marzo,Viva,Pasajeros,1132,185,66,1383,35,66,101
Marzo,Arajet,Pasajeros,32,9,3,44,2,3,5
Marzo,Aerus,Pasajeros,60,10,15,85,3,15,18
Marzo,Berry Aviation,Carga,0,1,0,1,0,0,0
Marzo,Uniworld Cargo,Carga,1,0,0,1,0,0,0
Marzo,Cargolux,Carga,12,17,2,31,0,0,0
Marzo,Suparna Arilines,Carga,0,7,0,7,0,0,0
Marzo,UPS,Carga,19,3,0,22,0,0,0
Marzo,Galistair,Carga,2,0,0,2,0,0,0
Marzo,National,Carga,0,3,0,3,0,0,0
Marzo,Turkish,Carga,6,2,1,9,0,1,1
Marzo,Cathay Pacific,Carga,15,12,0,27,3,0,3
Marzo,La Nueva Aerolinea,Carga,1,6,1,8,0,1,1
Marzo,QATAR,Carga,6,3,1,10,1,1,2
Marzo,Air France,Carga,5,5,0,10,2,0,2
Marzo,Amerijet,Carga,1,2,1,4,0,1,1
Marzo,Estafeta,Carga,25,11,6,42,5,6,11
Marzo,Atlas Air,Carga,27,23,13,63,7,13,20
Marzo,Aerounión,Carga,19,19,15,53,2,15,17
Marzo,TSM,Carga,1,5,0,6,2,0,2
Marzo,Lufthansa,Carga,20,12,1,33,10,1,11
Marzo,DHL Guatemala,Carga,11,6,0,17,6,0,6
Marzo,Mas de Carga,Carga,25,30,20,75,8,20,28
Marzo,Ethiopian Airlines,Carga,4,5,0,9,4,0,4
Marzo,Cargojet,Carga,21,6,20,47,3,20,23
Marzo,Awesome Cargo,Carga,5,17,3,25,10,3,13
Marzo,Kalitta Air,Carga,10,15,7,32,10,7,17
Marzo,Silk Waywest Airlines,Carga,1,3,1,5,2,1,3
Marzo,Air China,Carga,3,9,1,13,7,1,8
Marzo,China Southern,Carga,11,20,3,34,19,3,22
Marzo,Air Canada,Carga,8,18,3,29,16,3,19
Marzo,Emirates Airlines,Carga,5,6,6,17,6,6,12
