 IATA code   ,ICAO Code,Name,Design Group,Aircraft Type Groups,Height,Length,Wingspan,Max Capacity,MTOW
E95,E195,ERJ-195,C,C,11,36.2,33.7,124,45000
ER4,E145,RJ145,B,B,6.76,29.87,20.04,50,19300
E7W,E75L,ERJ-175W,C,C,9.67,31.68,26,76,34000
E90,E190,ERJ-190,C,C,10.57,36.24,28.72,97,43000
E70,E170,E170,C,C,9.67,29.9,26,76,33300
E75,E75L,ERJ-175,C,C,9.67,31.68,26,76,34000
73S,B737,B737-700 Freighter (winglets),C,C,12.5,33.6,35.7,149,58600
CRJ,,CRJ,B,B,,,,50,49999
73K,B738,B737-800 Freighter,C,C,12.5,39.5,35.7,189,66350
CRK,CRJX,CRJ-1000,C,C,,,,104,91800
7M8,B38M,B737 MAX 8,C,C,12.5,39.5,35.7,178,69309
M80,MD81,McDonnell Douglas MD-80,C,,9.1,45.1,32.8,155,58967
73C,B733,B737-300W,C,C,11.13,33.4,28.88,149,51710
CRA,CRJ9,CRJ-700,C,C,7.57,32.51,23.24,70,28000
73W,B737,B737-700 (winglets),C,C,12.5,33.6,35.7,134,58600
7M7,B37M,737 MAX 7,C,C,,,,172,80300
73J,B739,B737-900 (winglets),C,C,12.5,42.1,35.7,173,66350
73M,B732,B737-200 Combi,C,C,11.3,28.6,26.3,118,66350
73G,B737,B737-700,C,C,,,,160,70080
CNF,C208,CESSNA 208B,B,,3629,11,16,,
73H,B738,B737-800 (winglets),C,C,,,,189,80000
CR7,CRJ7,CRJ-700,B,B,7.57,32.51,23.24,68,39000
LOH,C130,C-130,D,,11.61,29.79,40.41,,58965
CR9,CRJ9,CRJ-900,B,B,7.51,36.4,24.85,90,39000
CR1,CRJ1,CRJ-1000,B,B,7.5,39.13,26.18,104,35000
CR2,CRJ2,CRJ-200,B,B,6.22,27.77,21.21,50,20000
7M9,B39M,737 MAX 9,C,C,12.3,42.2,35.9,192,88700
AT7,AT72,ATR-72,C,C,7.65,27.16,27.05,78,18000
76F,B763,B-767 All Freigthter,D,,15.8,48.5,47.6,0,147871
739,B739,B737-900ER,C,C,12.5,42.1,35.7,204,66350
789,B789,B787-9,E,E,,,,298,255000
7M1,B31M,737 MAX 10,C,C,,,,230,89800
737,B737,B737-700,C,C,,,,115,52390
781,B781,B787-10,E,E,,,,336,255000
738,B738,B737-800,C,C,,,,160,70080
788,B788,B787-8,E,E,,,,251,228000
735,B735,B737-500,C,C,,,,122,61000
AB3,A306,Airbus A300B4-605R,D,,16.54,54.08,44.84,,140000
736,B736,B737-600,C,C,,,,113,66000
CES,C208,CESSNA,B,,4.3,12.7,16,,
733,B733,B737-300,C,C,,,,146,63000
734,B734,B737-400,C,C,,,,156,69000
731,B731,B737-100,C,C,,,,124,110000
732,B732,B737-200,C,C,,,,125,59000
722,B722,B727-200,C,C,,,,155,95100
77F,B77L,B777-200F,E,E,,,,0,766800
77L,B77L,B777-200LR,E,E,,,,300,345000
77W,B77W,B777-300ER,E,E,,,,400,352000
773,B773,B777-300,E,E,,,,368,660000
772,B772,B777-200ER,E,E,,,,316,298000
764,B764,B767-400ER,D,D,,,,250,204116
76W,B763,B767-300 (winglets),D,D,,,,274,124737
727,B722,B727-200,C,C,,,,150,160999
762,B762,B767-200,D,D,,,,274,124737
721,B721,B727-100,C,C,,,,125,76700
763,B763,B767-300ER,D,D,,,,282,187000
359,A359,A350-900,E,E,,,,325,280000
380,A388,A380-800,F,F,,,,544,126800
75F,B752,B757-200PF,D,D,,,,0,255000
346,A346,A340-600,E,E,,,,380,840000
351,A35K,A350-1000,E,E,,,,387,685638
SF3,SF34,Saab 340,B,,69.7,79.73,21.44,,
343,A343,A340-300,E,E,,,,314,276000
345,A345,A340-500,E,E,,,,313,840000
333,A333,A330-300,E,E,,,,292,242000
342,A342,A340-200,E,E,,,,303,606000
SW4,,Swearingen Metroliner,B,,5.08,18.09,17.37,,
DC9,DC9,McDonnell-Douglas DC-9-33F,C,,8.53,40.72,28.45,,49895
75W,B752,B757-200 (winglets),D,D,,,,160,70080
752,B752,B757-200,D,D,,,,172,95254
74Y,B744,BB747-400F,E,E,,,,0,910000
753,B753,B757-300,D,D,,,,295,273000
748,B748,B747-8I,F,F,,,,365,447700
74N,B748,B747-8F,F,F,,,,0,447700
339,A339,Airbus A330-900,E,,16.79,63.66,64,,191000
332,A332,A330-200,E,E,,,,260,242000
744,B744,B747-400,E,E,,,,500,396893
747,B741,B747-100,E,E,,,,366,735000
319,A319,A319,C,C,,,,136,76000
742,B742,B747-200,E,E,,,,366,833000
32Q,A21N,A321neo,C,C,,,,199,213800
743,B743,B747-300,E,E,,,,400,833000
321,A321,A321-100/200,C,C,,,,185,94000
77X,B77F,B777-200F,E,,18.5,63.7,60.9,0,260800
318,A318,A318,C,C,,,,136,150000
SW3,LT2,Swearingen Aircraft,B,,5.1,12.9,14.1,,
312,A310,A310-200,D,D,,,,220,317465
320,A320,A320-100/200,C,C,,,,165,78000
EM2,E120,Embraer EMB 120 Brasilia,B,,6.35,20,19.78,,11699
310,A310,A310,D,D,,,,260,118497
313,A310,A310-300,D,D,,,,250,157000
F20,FA20,Falcon 20,B,,5.3,17.1,16.3,9,12392
ANF,AN12,Antonov An-12,D,,10.53,33.1,38,0,61000
76X,B762,B762-200 Freighter,D,,15.9,48.5,47.7,290,134078
770,,Test 770,A,,10,10,10,260,
32A,A320,Airbus A320-200 Ceo,C,,11.76,37.57,35.8,180,66000
M83,MD83,McDonnell Douglas 83,C,,9.05,45.06,32.78,168,63277
YA,,SAAB 340B,B,,6.97,19.73,21.44,34,12927
7S8,B738,Boeing 737-800 (Scimitar wl),C,,11,29,28,189,65310
76Y,B763,B767-300F,D,,15.85,54.9,47.57,299,145149
M11,MD11,McDonnell Douglas MD-11,D,,17.6,61.2,51.7,,195044
32N,A20N,A320neo,C,C,11.76,37.57,35.8,194,79000
7M7,B37M,Boeing 737 MAX7,C,,1,1,1,138,54657
